Read	    0 from	 fffc
Read	   ff from	 fffd
Read	   d8 from	 ff00
Read	   58 from	 ff01
Read	   a0 from	 ff02
Read	   7f from	 ff03
Read	   a9 from	 ff04
Read	   a7 from	 ff05
Read	   c9 from	 ff06
Read	   df from	 ff07
Read	   f0 from	 ff08
Read	   13 from	 ff09
Read	   c9 from	 ff0a
Read	   9b from	 ff0b
Read	   f0 from	 ff0c
Read	    3 from	 ff0d
Read	   c8 from	 ff0e
Read	   10 from	 ff0f
Read	    f from	 ff10
Read	   a9 from	 ff11
Read	   dc from	 ff12
Read	   20 from	 ff13
Read	   e6 from	 ff14
Read	   ff from	 ff15
Write	   ff to	  1fd
Write	   15 to	  1fc
Read	   2c from	 ffe6
Read	   13 from	 ffe7
Read	   d0 from	 ffe8
Read	    0 from	 d013
Read	   30 from	 ffe9
Read	   fb from	 ffea
Read	   8d from	 ffeb
Read	   12 from	 ffec
Read	   d0 from	 ffed
Write	   dc to	 d012
\
Read	   60 from	 ffee
Read	   15 from	  1fc
Read	   ff from	  1fd
Read	   a9 from	 ff16
Read	   8a from	 ff17
Read	   20 from	 ff18
Read	   e6 from	 ff19
Read	   ff from	 ff1a
Write	   ff to	  1fd
Write	   1a to	  1fc
Read	   2c from	 ffe6
Read	   13 from	 ffe7
Read	   d0 from	 ffe8
Read	    0 from	 d013
Read	   30 from	 ffe9
Read	   fb from	 ffea
Read	   8d from	 ffeb
Read	   12 from	 ffec
Read	   d0 from	 ffed
Write	   8a to	 d012


Read	   60 from	 ffee
Read	   1a from	  1fc
Read	   ff from	  1fd
Read	   a0 from	 ff1b
Read	    1 from	 ff1c
Read	   88 from	 ff1d
Read	   30 from	 ff1e
Read	   f6 from	 ff1f
Read	   ad from	 ff20
Read	   11 from	 ff21
Read	   d0 from	 ff22
Read	    0 from	 d011
Read	   10 from	 ff23
Read	   fb from	 ff24
Read	   ad from	 ff25
Read	   10 from	 ff26
Read	   d0 from	 ff27
Read	   b0 from	 d010
Read	   99 from	 ff28
Read	    0 from	 ff29
Read	    2 from	 ff2a
Write	   b0 to	  200
Read	   20 from	 ff2b
Read	   e6 from	 ff2c
Read	   ff from	 ff2d
Write	   ff to	  1fd
Write	   2d to	  1fc
Read	   2c from	 ffe6
Read	   13 from	 ffe7
Read	   d0 from	 ffe8
Read	    0 from	 d013
Read	   30 from	 ffe9
Read	   fb from	 ffea
Read	   8d from	 ffeb
Read	   12 from	 ffec
Read	   d0 from	 ffed
Write	   b0 to	 d012
0
Read	   60 from	 ffee
Read	   2d from	  1fc
Read	   ff from	  1fd
Read	   c9 from	 ff2e
Read	   8a from	 ff2f
Read	   d0 from	 ff30
Read	   d4 from	 ff31
Read	   c9 from	 ff06
Read	   df from	 ff07
Read	   f0 from	 ff08
Read	   13 from	 ff09
Read	   c9 from	 ff0a
Read	   9b from	 ff0b
Read	   f0 from	 ff0c
Read	    3 from	 ff0d
Read	   c8 from	 ff0e
Read	   10 from	 ff0f
Read	    f from	 ff10
Read	   ad from	 ff20
Read	   11 from	 ff21
Read	   d0 from	 ff22
Read	    0 from	 d011
Read	   10 from	 ff23
Read	   fb from	 ff24
Read	   ad from	 ff25
Read	   10 from	 ff26
Read	   d0 from	 ff27
Read	   b0 from	 d010
Read	   99 from	 ff28
Read	    0 from	 ff29
Read	    2 from	 ff2a
Write	   b0 to	  201
Read	   20 from	 ff2b
Read	   e6 from	 ff2c
Read	   ff from	 ff2d
Write	   ff to	  1fd
Write	   2d to	  1fc
Read	   2c from	 ffe6
Read	   13 from	 ffe7
Read	   d0 from	 ffe8
Read	    0 from	 d013
Read	   30 from	 ffe9
Read	   fb from	 ffea
Read	   8d from	 ffeb
Read	   12 from	 ffec
Read	   d0 from	 ffed
Write	   b0 to	 d012
0
Read	   60 from	 ffee
Read	   2d from	  1fc
Read	   ff from	  1fd
Read	   c9 from	 ff2e
Read	   8a from	 ff2f
Read	   d0 from	 ff30
Read	   d4 from	 ff31
Read	   c9 from	 ff06
Read	   df from	 ff07
Read	   f0 from	 ff08
Read	   13 from	 ff09
Read	   c9 from	 ff0a
Read	   9b from	 ff0b
Read	   f0 from	 ff0c
Read	    3 from	 ff0d
Read	   c8 from	 ff0e
Read	   10 from	 ff0f
Read	    f from	 ff10
Read	   ad from	 ff20
Read	   11 from	 ff21
Read	   d0 from	 ff22
Read	    0 from	 d011
Read	   10 from	 ff23
Read	   fb from	 ff24
Read	   ad from	 ff25
Read	   10 from	 ff26
Read	   d0 from	 ff27
Read	   c6 from	 d010
Read	   99 from	 ff28
Read	    0 from	 ff29
Read	    2 from	 ff2a
Write	   c6 to	  202
Read	   20 from	 ff2b
Read	   e6 from	 ff2c
Read	   ff from	 ff2d
Write	   ff to	  1fd
Write	   2d to	  1fc
Read	   2c from	 ffe6
Read	   13 from	 ffe7
Read	   d0 from	 ffe8
Read	    0 from	 d013
Read	   30 from	 ffe9
Read	   fb from	 ffea
Read	   8d from	 ffeb
Read	   12 from	 ffec
Read	   d0 from	 ffed
Write	   c6 to	 d012
F
Read	   60 from	 ffee
Read	   2d from	  1fc
Read	   ff from	  1fd
Read	   c9 from	 ff2e
Read	   8a from	 ff2f
Read	   d0 from	 ff30
Read	   d4 from	 ff31
Read	   c9 from	 ff06
Read	   df from	 ff07
Read	   f0 from	 ff08
Read	   13 from	 ff09
Read	   c9 from	 ff0a
Read	   9b from	 ff0b
Read	   f0 from	 ff0c
Read	    3 from	 ff0d
Read	   c8 from	 ff0e
Read	   10 from	 ff0f
Read	    f from	 ff10
Read	   ad from	 ff20
Read	   11 from	 ff21
Read	   d0 from	 ff22
Read	    0 from	 d011
Read	   10 from	 ff23
Read	   fb from	 ff24
Read	   ad from	 ff25
Read	   10 from	 ff26
Read	   d0 from	 ff27
Read	   c6 from	 d010
Read	   99 from	 ff28
Read	    0 from	 ff29
Read	    2 from	 ff2a
Write	   c6 to	  203
Read	   20 from	 ff2b
Read	   e6 from	 ff2c
Read	   ff from	 ff2d
Write	   ff to	  1fd
Write	   2d to	  1fc
Read	   2c from	 ffe6
Read	   13 from	 ffe7
Read	   d0 from	 ffe8
Read	    0 from	 d013
Read	   30 from	 ffe9
Read	   fb from	 ffea
Read	   8d from	 ffeb
Read	   12 from	 ffec
Read	   d0 from	 ffed
Write	   c6 to	 d012
F
Read	   60 from	 ffee
Read	   2d from	  1fc
Read	   ff from	  1fd
Read	   c9 from	 ff2e
Read	   8a from	 ff2f
Read	   d0 from	 ff30
Read	   d4 from	 ff31
Read	   c9 from	 ff06
Read	   df from	 ff07
Read	   f0 from	 ff08
Read	   13 from	 ff09
Read	   c9 from	 ff0a
Read	   9b from	 ff0b
Read	   f0 from	 ff0c
Read	    3 from	 ff0d
Read	   c8 from	 ff0e
Read	   10 from	 ff0f
Read	    f from	 ff10
Read	   ad from	 ff20
Read	   11 from	 ff21
Read	   d0 from	 ff22
Read	    0 from	 d011
Read	   10 from	 ff23
Read	   fb from	 ff24
Read	   ad from	 ff25
Read	   10 from	 ff26
Read	   d0 from	 ff27
Read	   8a from	 d010
Read	   99 from	 ff28
Read	    0 from	 ff29
Read	    2 from	 ff2a
Write	   8a to	  204
Read	   20 from	 ff2b
Read	   e6 from	 ff2c
Read	   ff from	 ff2d
Write	   ff to	  1fd
Write	   2d to	  1fc
Read	   2c from	 ffe6
Read	   13 from	 ffe7
Read	   d0 from	 ffe8
Read	    0 from	 d013
Read	   30 from	 ffe9
Read	   fb from	 ffea
Read	   8d from	 ffeb
Read	   12 from	 ffec
Read	   d0 from	 ffed
Write	   8a to	 d012


Read	   60 from	 ffee
Read	   2d from	  1fc
Read	   ff from	  1fd
Read	   c9 from	 ff2e
Read	   8a from	 ff2f
Read	   d0 from	 ff30
Read	   d4 from	 ff31
Read	   a0 from	 ff32
Read	   ff from	 ff33
Read	   a9 from	 ff34
Read	    0 from	 ff35
Read	   aa from	 ff36
Read	    a from	 ff37
Read	   85 from	 ff38
Read	   2b from	 ff39
Write	    0 to	   2b
Read	   c8 from	 ff3a
Read	   b9 from	 ff3b
Read	    0 from	 ff3c
Read	    2 from	 ff3d
Read	   b0 from	  200
Read	   c9 from	 ff3e
Read	   8a from	 ff3f
Read	   f0 from	 ff40
Read	   d4 from	 ff41
Read	   c9 from	 ff42
Read	   ae from	 ff43
Read	   90 from	 ff44
Read	   f4 from	 ff45
Read	   f0 from	 ff46
Read	   f0 from	 ff47
Read	   c9 from	 ff48
Read	   ba from	 ff49
Read	   f0 from	 ff4a
Read	   eb from	 ff4b
Read	   c9 from	 ff4c
Read	   d2 from	 ff4d
Read	   f0 from	 ff4e
Read	   3b from	 ff4f
Read	   86 from	 ff50
Read	   28 from	 ff51
Write	    0 to	   28
Read	   86 from	 ff52
Read	   29 from	 ff53
Write	    0 to	   29
Read	   84 from	 ff54
Read	   2a from	 ff55
Write	    0 to	   2a
Read	   b9 from	 ff56
Read	    0 from	 ff57
Read	    2 from	 ff58
Read	   b0 from	  200
Read	   49 from	 ff59
Read	   b0 from	 ff5a
Read	   c9 from	 ff5b
Read	    a from	 ff5c
Read	   90 from	 ff5d
Read	    6 from	 ff5e
Read	    a from	 ff65
Read	    a from	 ff66
Read	    a from	 ff67
Read	    a from	 ff68
Read	   a2 from	 ff69
Read	    4 from	 ff6a
Read	    a from	 ff6b
Read	   26 from	 ff6c
Read	   28 from	 ff6d
Read	    0 from	   28
Write	    0 to	   28
Read	   26 from	 ff6e
Read	   29 from	 ff6f
Read	    0 from	   29
Write	    0 to	   29
Read	   ca from	 ff70
Read	   d0 from	 ff71
Read	   f8 from	 ff72
Read	    a from	 ff6b
Read	   26 from	 ff6c
Read	   28 from	 ff6d
Read	    0 from	   28
Write	    0 to	   28
Read	   26 from	 ff6e
Read	   29 from	 ff6f
Read	    0 from	   29
Write	    0 to	   29
Read	   ca from	 ff70
Read	   d0 from	 ff71
Read	   f8 from	 ff72
Read	    a from	 ff6b
Read	   26 from	 ff6c
Read	   28 from	 ff6d
Read	    0 from	   28
Write	    0 to	   28
Read	   26 from	 ff6e
Read	   29 from	 ff6f
Read	    0 from	   29
Write	    0 to	   29
Read	   ca from	 ff70
Read	   d0 from	 ff71
Read	   f8 from	 ff72
Read	    a from	 ff6b
Read	   26 from	 ff6c
Read	   28 from	 ff6d
Read	    0 from	   28
Write	    0 to	   28
Read	   26 from	 ff6e
Read	   29 from	 ff6f
Read	    0 from	   29
Write	    0 to	   29
Read	   ca from	 ff70
Read	   d0 from	 ff71
Read	   f8 from	 ff72
Read	   c8 from	 ff73
Read	   d0 from	 ff74
Read	   e0 from	 ff75
Read	   b9 from	 ff56
Read	    0 from	 ff57
Read	    2 from	 ff58
Read	   b0 from	  201
Read	   49 from	 ff59
Read	   b0 from	 ff5a
Read	   c9 from	 ff5b
Read	    a from	 ff5c
Read	   90 from	 ff5d
Read	    6 from	 ff5e
Read	    a from	 ff65
Read	    a from	 ff66
Read	    a from	 ff67
Read	    a from	 ff68
Read	   a2 from	 ff69
Read	    4 from	 ff6a
Read	    a from	 ff6b
Read	   26 from	 ff6c
Read	   28 from	 ff6d
Read	    0 from	   28
Write	    0 to	   28
Read	   26 from	 ff6e
Read	   29 from	 ff6f
Read	    0 from	   29
Write	    0 to	   29
Read	   ca from	 ff70
Read	   d0 from	 ff71
Read	   f8 from	 ff72
Read	    a from	 ff6b
Read	   26 from	 ff6c
Read	   28 from	 ff6d
Read	    0 from	   28
Write	    0 to	   28
Read	   26 from	 ff6e
Read	   29 from	 ff6f
Read	    0 from	   29
